timestamp,total_decisions,blocked_count,allowed_count,avg_decision_delay
1789652475.8845744,53120,0,53120,1.676
1789652475.8972926,53130,0,53130,1.676
1789652475.911164,53140,0,53140,1.676
1789652475.9217453,53150,0,53150,1.676
1789652475.9310114,53160,0,53160,1.676
1789652475.9401493,53170,0,53170,1.676
1789652475.9465415,53180,0,53180,1.676
1789652475.953014,53190,0,53190,1.676
1789652475.9637444,53200,0,53200,1.676
1789652475.9747279,53210,0,53210,1.676
1789652475.984557,53220,0,53220,1.676
1789652476.0006986,53230,0,53230,1.676
1789652476.0155017,53240,0,53240,1.676
1789652476.0250652,53250,0,53250,1.676
1789652476.0350766,53260,0,53260,1.676
1789652476.042362,53270,0,53270,1.676
1789652476.0509834,53280,0,53280,1.676
1789652476.061909,53290,0,53290,1.676
1789652476.0737348,53300,0,53300,1.676
1789652476.0817056,53310,0,53310,1.676
1789652476.0904262,53320,0,53320,1.676
1789652476.10198,53330,0,53330,1.676
1789652476.1132324,53340,0,53340,1.676
1789652476.123209,53350,0,53350,1.676
1789652476.1332264,53360,0,53360,1.676
1789652476.1480274,53370,0,53370,1.676
1789652476.16084,53380,0,53380,1.676
1789652476.168934,53390,0,53390,1.676
1789652476.178043,53400,0,53400,1.676
1789652476.1861904,53410,0,53410,1.676
1789652476.1931648,53420,0,53420,1.676
1789652476.1985672,53430,0,53430,1.676
1789652476.2045543,53440,0,53440,1.676
1789652476.2104247,53450,0,53450,1.676
1789652476.2160096,53460,0,53460,1.676
1789652476.2221744,53470,0,53470,1.676
1789652476.2279592,53480,0,53480,1.676
1789652476.2334328,53490,0,53490,1.676
1789652476.2410269,53500,0,53500,1.676
1789652476.2483828,53510,0,53510,1.676
1789652476.2551732,53520,0,53520,1.676
1789652476.2609751,53530,0,53530,1.676
1789652476.2701335,53540,0,53540,1.676
1789652476.2779691,53550,0,53550,1.676
1789652476.2869344,53560,0,53560,1.676
1789652476.2950623,53570,0,53570,1.676
1789652476.303294,53580,0,53580,1.676
1789652476.315674,53590,0,53590,1.676
1789652476.3227565,53600,0,53600,1.676
1789652476.3345206,53610,0,53610,1.676
1789652476.343169,53620,0,53620,1.677
1789652476.3531928,53630,0,53630,1.677
1789652476.3629868,53640,0,53640,1.677
1789652476.3713417,53650,0,53650,1.677
1789652476.381526,53660,0,53660,1.677
1789652476.398641,53670,0,53670,1.677
1789652476.4102485,53680,0,53680,1.677
1789652476.423396,53690,0,53690,1.677
1789652476.433691,53700,0,53700,1.677
1789652476.4438252,53710,0,53710,1.677
1789652476.453274,53720,0,53720,1.677
1789652476.4661252,53730,0,53730,1.677
1789652476.4752655,53740,0,53740,1.677
1789652476.4852743,53750,0,53750,1.677
1789652476.4978158,53760,0,53760,1.677
1789652476.5114841,53770,0,53770,1.677
1789652476.521723,53780,0,53780,1.677
1789652476.5383554,53790,0,53790,1.677
1789652476.5539095,53800,0,53800,1.677
1789652476.5628343,53810,0,53810,1.678
1789652476.5705116,53820,0,53820,1.678
1789652476.5796528,53830,0,53830,1.678
1789652476.5876107,53840,0,53840,1.678
1789652476.5977592,53850,0,53850,1.678
1789652476.6039839,53860,0,53860,1.678
1789652476.6121871,53870,0,53870,1.678
1789652476.622141,53880,0,53880,1.678
1789652476.6343033,53890,0,53890,1.678
1789652476.6434724,53900,0,53900,1.678
1789652476.6519928,53910,0,53910,1.678
1789652476.666334,53920,0,53920,1.678
1789652476.6719675,53930,0,53930,1.679
1789652476.6805227,53940,0,53940,1.679
1789652476.6860454,53950,0,53950,1.679
1789652476.6916869,53960,0,53960,1.679
1789652476.6969874,53970,0,53970,1.679
1789652476.7023156,53980,0,53980,1.679
1789652476.7081106,53990,0,53990,1.679
1789652476.7134006,54000,0,54000,1.679
1789652476.718928,54010,0,54010,1.679
1789652476.7247248,54020,0,54020,1.679
1789652476.7301192,54030,0,54030,1.679
1789652476.7358096,54040,0,54040,1.68
1789652476.7461088,54050,0,54050,1.68
1789652476.7559292,54060,0,54060,1.68
1789652476.767458,54070,0,54070,1.68
1789652476.778398,54080,0,54080,1.68
1789652476.7880213,54090,0,54090,1.68
1789652476.795559,54100,0,54100,1.68
1789652476.8019302,54110,0,54110,1.68
1789652476.8070047,54120,0,54120,1.68
1789652476.8121543,54130,0,54130,1.68
1789652476.8255236,54140,0,54140,1.681
1789652476.8327503,54150,0,54150,1.681
1789652476.8388784,54160,0,54160,1.681
1789652476.8489785,54170,0,54170,1.681
1789652476.8593016,54180,0,54180,1.681
1789652476.8691387,54190,0,54190,1.681
1789652476.881516,54200,0,54200,1.681
1789652476.899895,54210,0,54210,1.681
1789652476.9216387,54220,0,54220,1.681
1789652476.935731,54230,0,54230,1.682
1789652476.9477484,54240,0,54240,1.682
1789652476.9579322,54250,0,54250,1.682
1789652476.967354,54260,0,54260,1.682
1789652476.9757798,54270,0,54270,1.682
1789652476.9844167,54280,0,54280,1.682
1789652476.9960113,54290,0,54290,1.682
1789652477.0108528,54300,0,54300,1.683
1789652477.021235,54310,0,54310,1.683
1789652477.0297186,54320,0,54320,1.683
1789652477.038997,54330,0,54330,1.683
1789652477.0474064,54340,0,54340,1.683
1789652477.0605023,54350,0,54350,1.683
1789652477.0748982,54360,0,54360,1.683
1789652477.0841298,54370,0,54370,1.684
1789652477.0931253,54380,0,54380,1.684
1789652477.1038315,54390,0,54390,1.684
1789652477.1108081,54400,0,54400,1.684
1789652477.1184475,54410,0,54410,1.684
1789652477.123796,54420,0,54420,1.684
1789652477.1299486,54430,0,54430,1.684
1789652477.1351016,54440,0,54440,1.685
1789652477.1407385,54450,0,54450,1.685
